year,county,cases_per_100k,reported_cases
2016,Atlantic,34.7,93
2016,Bergen,30.0,279
2016,Burlington,62.8,280
2016,Camden,24.3,123
2016,Cape May,20.3,19
2016,Cumberland,63.9,98
2016,Essex,19.9,158
2016,Gloucester,40.9,119
2016,Hudson,7.5,50
2016,Hunterdon,169.2,211
2016,Mercer,71.2,262
2016,Middlesex,36.7,303
2016,Monmouth,78.9,492
2016,Morris,109.1,539
2016,Ocean,46.4,274
2016,Passaic,40.5,204
2016,Salem,50.6,32
2016,Somerset,65.5,216
2016,Sussex,183.2,260
2016,Union,17.2,95
2016,Warren,229.1,243
2017,Atlantic,24.8,66
2017,Bergen,32.5,303
2017,Burlington,51.0,227
2017,Camden,31.4,159
2017,Cape May,23.6,22
2017,Cumberland,65.2,99
2017,Essex,26.0,207
2017,Gloucester,42.6,124
2017,Hudson,10.7,72
2017,Hunterdon,356.3,444
2017,Mercer,60.2,222
2017,Middlesex,38.8,321
2017,Monmouth,88.4,550
2017,Morris,131.5,650
2017,Ocean,50.7,302
2017,Passaic,32.8,165
2017,Salem,71.6,45
2017,Somerset,84.7,280
2017,Sussex,234.4,331
2017,Union,19.8,110
2017,Warren,371.2,393
2018,Atlantic,28.3,75
2018,Bergen,24.8,232
2018,Burlington,41.8,186
2018,Camden,31.0,157
2018,Cape May,33.5,31
2018,Cumberland,53.7,81
2018,Essex,20.9,167
2018,Gloucester,37.4,109
2018,Hudson,3.8,26
2018,Hunterdon,268.6,335
2018,Mercer,44.6,165
2018,Middlesex,18.6,154
2018,Monmouth,81.4,506
2018,Morris,95.5,472
2018,Ocean,48.2,290
2018,Passaic,29.6,149
2018,Salem,92.6,58
2018,Somerset,67.9,225
2018,Sussex,174.7,246
2018,Union,16.5,92
2018,Warren,230.7,244
